X,Y,OBJECTID,LocationID,Name,Historic_Name,Status,City,County,State,Description,Latitude,Longitude,Lat_WGS84,Long_WGS84,Block_Group,Image_URL,Image_Title,Source
-109.055,35.3589,1,AZ001,Lupton Route 66,,Active,Lupton,Apache,AZ,"Historic eastern gateway where Route 66 enters Arizona from New Mexico, marking a key transition point for travelers entering the state.",35.3589,-109.055,35.3589,-109.055,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/19380/default.jpg,Lupton Route 66 Indian Market,NAU Colorado Plateau Archives
-109.7869,35.065,2,AZ002,Painted Desert Inn Route 66,,Active,Petrified Forest,Navajo,AZ,"Rustic Pueblo Revival inn built by the Civilian Conservation Corps in the 1930s, serving early Route 66 tourists exploring the Painted Desert.",35.065,-109.7869,35.065,-109.7869,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/117198/default.jpg,Painted Desert Inn,NAU Colorado Plateau Archives
-109.7869,35.065,3,AZ003,Petrified Forest Route 66,,Active,Petrified Forest,Navajo,AZ,"One of the few preserved stretches of original Route 66 roadway located within a national park, reflecting early highway engineering and tourism.",35.065,-109.7869,35.065,-109.7869,,PENDING,Petrified Forest Route 66,NAU Colorado Plateau Archives
-110.158,34.9014,4,AZ004,Wigwam Motel,,Active,Holbrook,Navajo,AZ,"Iconic 1950s roadside motel featuring concrete teepee-shaped rooms, symbolizing mid-century automobile tourism and Route 66 novelty architecture.",34.9014,-110.158,34.9014,-110.158,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/19698/default.jpg,Wigwam Motel Holbrook,NAU Colorado Plateau Archives
-110.158,34.902,5,AZ005,Holbrook Route 66,,Active,Holbrook,Navajo,AZ,"Historic railroad and Route 66 town that developed as a service hub for travelers, known for its Wild West heritage and roadside motels.",34.902,-110.158,34.902,-110.158,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/19701/default.jpg,Holbrook Route 66,NAU Colorado Plateau Archives
-110.309,34.9545,6,AZ006,Jack Rabbit Trading Post,,Active,Joseph City,Navajo,AZ,"Famous roadside attraction established in 1949, known for its “Here It Is” billboard campaign and classic Route 66 souvenir culture.",34.9545,-110.309,34.9545,-110.309,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/108296/default.jpg,Jack Rabbit Trading Post,NAU Colorado Plateau Archives
-110.6974,35.0242,8,AZ008,Winslow Route 66,,Active,Winslow,Navajo,AZ,"Historic transportation hub where the Santa Fe Railway and Route 66 intersect, shaping the town’s role in regional commerce and travel.",35.0242,-110.6974,35.0242,-110.6974,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/110250/default.jpg,Winslow Route 66,NAU Colorado Plateau Archives
-110.6974,35.0242,9,AZ009,La Posada Hotel,,Active,Winslow,Navajo,AZ,"Restored 1930 Harvey House designed by Mary Colter, serving rail and Route 66 travelers with distinctive Southwestern architecture.",35.0242,-110.6974,35.0242,-110.6974,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/19655/default.jpg,La Posada Hotel,NAU Colorado Plateau Archives
-111.092,35.12,11,AZ011,Two Guns Route 66,,Active,Two Guns,Coconino,AZ,"Abandoned tourist stop featuring ruins of trading posts, a zoo, and service stations that once catered to Route 66 motorists.",35.12,-111.092,35.12,-111.092,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/19323/default.jpg,Two Guns Route 66,NAU Colorado Plateau Archives
-111.0925,35.121,12,AZ012,Canyon Diablo Bridge Route 66,,Active,Two Guns,Coconino,AZ,"Historic early concrete bridge carrying Route 66 across Canyon Diablo, representing early 20th-century highway engineering.",35.121,-111.0925,35.121,-111.0925,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/20000/default.jpg,Canyon Diablo Bridge,NAU Colorado Plateau Archives
